tiempo,potencia,id,sum1,sum0
1961,0.768827047479556,1,0.768827047479556,0
1962,0.756621506163798,1,0.756621506163798,0
1963,0.741730745758574,0,0,0.741730745758574
1964,0.759672891492738,1,0.759672891492738,0
1965,0.743195410716465,0,0,0.743195410716465
1966,0.747711461003296,0,0,0.747711461003296
1967,0.776028316855852,1,0.776028316855852,0
1968,0.760649334797998,1,0.760649334797998,0
1969,0.770291712437447,1,0.770291712437447,0
1970,0.73892347125595,0,0,0.73892347125595
1971,0.738801415842793,0,0,0.738801415842793
1972,0.752227511290126,1,0.752227511290126,0
1973,0.778347369705847,1,0.778347369705847,0
1974,0.750396680092762,1,0.750396680092762,0
1975,0.761747833516416,1,0.761747833516416,0
1976,0.770169657024289,1,0.770169657024289,0
1977,0.742341022824362,0,0,0.742341022824362
1978,0.767850604174295,1,0.767850604174295,0
1979,0.786525082387404,1,0.786525082387404,0
1980,0.776760649334798,1,0.776760649334798,0
1981,0.751617234224338,1,0.751617234224338,0
1982,0.797021847918955,1,0.797021847918955,0
1983,0.803002563163676,1,0.803002563163676,0
1984,0.8138654949347,1,0.8138654949347,0
1985,0.830953252776761,1,0.830953252776761,0
1986,0.83351641645307,1,0.83351641645307,0
1987,0.79677773709264,1,0.79677773709264,0
1988,0.817283046503112,1,0.817283046503112,0
1989,0.820700598071525,1,0.820700598071525,0
1990,0.825216648358355,1,0.825216648358355,0
1991,0.80886122299524,1,0.80886122299524,0
1992,0.687782253142927,0,0,0.687782253142927
1993,0.749176125961186,0,0,0.749176125961186
1994,0.699499572806054,0,0,0.699499572806054
1995,0.706090565116563,0,0,0.706090565116563
1996,0.699865739045527,0,0,0.699865739045527
1997,0.680092762114,0,0,0.680092762114
1998,0.712071280361284,0,0,0.712071280361284
1999,0.731111924813866,0,0,0.731111924813866
2000,0.714390333211278,0,0,0.714390333211278
2001,0.737824972537532,0,0,0.737824972537532
2002,0.773709264005859,1,0.773709264005859,0
2003,0.773221042353228,1,0.773221042353228,0
2004,0.754058342487489,1,0.754058342487489,0
2005,0.756133284511168,1,0.756133284511168,0
2006,0.739777859148053,0,0,0.739777859148053
2007,0.718418161845478,0,0,0.718418161845478
2008,0.731844257292811,0,0,0.731844257292811
2009,0.688514585621872,0,0,0.688514585621872
2010,0.699255461979739,0,0,0.699255461979739
2011,0.658733064811424,0,0,0.658733064811424
2012,0.669962162821921,0,0,0.669962162821921
2013,0.687782253142927,0,0,0.687782253142927
2014,0.76003905773221,1,0.76003905773221,0
2015,0.697790797021848,0,0,0.697790797021848
2016,0.691199804711339,0,0,0.691199804711339
2017,0.69315269132186,0,0,0.69315269132186
2018,0.658244843158794,0,0,0.658244843158794
2019,0.680214817527157,0,0,0.680214817527157
2020,0.662272671792994,0,0,0.662272671792994
2021,0.673379714390333,0,0,0.673379714390333
2022,0.664347613816673,0,0,0.664347613816673
2023,0.684852923227145,0,0,0.684852923227145
2024,0.681801537898206,0,0,0.681801537898206
2025,0.679482485048212,0,0,0.679482485048212
2026,0.666300500427194,0,0,0.666300500427194
2027,0.6680092762114,0,0,0.6680092762114
2028,0.648236299279873,0,0,0.648236299279873
2029,0.684730867813988,0,0,0.684730867813988
2030,0.700598071524472,0,0,0.700598071524472
2031,0.683510313682412,0,0,0.683510313682412
2032,0.708165507140242,0,0,0.708165507140242
2033,0.69766874160869,0,0,0.69766874160869
2034,0.695837910411327,0,0,0.695837910411327
2035,0.714024166971805,0,0,0.714024166971805
2036,0.71280361284023,0,0,0.71280361284023
2037,0.724276821677041,0,0,0.724276821677041
2038,0.714390333211278,0,0,0.714390333211278
2039,0.738557305016478,0,0,0.738557305016478
2040,0.709996338337605,0,0,0.709996338337605
2041,0.715244721103381,0,0,0.715244721103381
2042,0.6760649334798,0,0,0.6760649334798
2043,0.66446966922983,0,0,0.66446966922983
2044,0.668619553277188,0,0,0.668619553277188
2045,0.671670938606127,0,0,0.671670938606127
2046,0.683754424508727,0,0,0.683754424508727
2047,0.674966434761382,0,0,0.674966434761382
2048,0.694007079213963,0,0,0.694007079213963
2049,0.693518857561333,0,0,0.693518857561333
2050,0.712193335774442,0,0,0.712193335774442
2051,0.677285487611376,0,0,0.677285487611376
2052,0.714146222384963,0,0,0.714146222384963
2053,0.739289637495423,0,0,0.739289637495423
2054,0.727450262419138,0,0,0.727450262419138
2055,0.761259611863786,1,0.761259611863786,0
2056,0.755767118271695,1,0.755767118271695,0
2057,0.778103258879531,1,0.778103258879531,0
2058,0.803734895642622,1,0.803734895642622,0
2059,0.795068961308434,1,0.795068961308434,0
2060,0.774319541071647,1,0.774319541071647,0
2061,0.766630050042719,1,0.766630050042719,0
2062,0.783473697058464,1,0.783473697058464,0
2063,0.772244599047968,1,0.772244599047968,0
2064,0.816794824850482,1,0.816794824850482,0
2065,0.764188941779568,1,0.764188941779568,0
2066,0.722690101305993,0,0,0.722690101305993
